Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2025,12/31/2025,CHEWY.COM,Health & Wellness,Sale,-59.68,
12/29/2025,12/31/2025,OXXO MALECON,Groceries,Sale,-4.19,
12/31/2025,12/31/2025,OPENSNOW,Shopping,Sale,-49.99,
12/30/2025,12/31/2025,Spectrum,Bills & Utilities,Sale,-71.24,
12/30/2025,12/31/2025,BPK*FARMACIA L,Health & Wellness,Sale,-3.47,
12/29/2025,12/30/2025,XOCODIVA AEROPUERTO 2,Food & Drink,Sale,-6.15,
12/29/2025,12/30/2025,UBER* TRIP,Travel,Sale,-5.44,
12/29/2025,12/30/2025,MERPAGO*BOBBIROCCO,Shopping,Sale,-47.55,
12/28/2025,12/30/2025,OXXO PULPITO,Groceries,Sale,-8.86,
12/29/2025,12/30/2025,UBER* TRIP,Travel,Sale,-4.13,
12/29/2025,12/29/2025,UBER* TRIP,Travel,Sale,-1.12,
12/29/2025,12/29/2025,UBER* TRIP,Travel,Sale,-3.99,
12/28/2025,12/29/2025,UBER* TRIP,Travel,Sale,-0.84,
12/29/2025,12/29/2025,UBER* TRIP,Travel,Sale,-3.95,
12/27/2025,12/29/2025,SEPHORA ANDARES IC,Shopping,Sale,-100.41,
12/28/2025,12/29/2025,UBER* TRIP,Travel,Sale,-3.35,
12/28/2025,12/29/2025,HOTEL HYATT,Travel,Sale,-1400.94,
12/28/2025,12/29/2025,FARM PV OLAS ALTAS 3,Health & Wellness,Sale,-6.71,
12/28/2025,12/29/2025,BPK*GONG CHA  AEROPUERTO,Food & Drink,Sale,-5.48,
12/28/2025,12/29/2025,ZTL*THECOFFEELEGACY,Shopping,Sale,-16.12,
12/28/2025,12/28/2025,Payment Thank You-Mobile,,Payment,10308.35,
12/26/2025,12/28/2025,DE CARMEN,Food & Drink,Sale,-10.63,
12/26/2025,12/28/2025,UBER* TRIP,Travel,Sale,-0.84,
12/27/2025,12/28/2025,CRISTINA TAYLOR CHOCOL,Food & Drink,Sale,-15.94,
12/28/2025,12/28/2025,UBER* TRIP,Travel,Sale,-12.86,
12/27/2025,12/28/2025,UBER* TRIP,Travel,Sale,-11.19,
12/27/2025,12/28/2025,CULCA PROVIDENCIA,Food & Drink,Sale,-12.87,
12/26/2025,12/28/2025,TALLER DE ESPRESSO HID,Food & Drink,Sale,-12.30,
12/26/2025,12/28/2025,UBER* TRIP,Travel,Sale,-3.35,
12/26/2025,12/28/2025,UBER* TRIP,Travel,Sale,-0.84,
12/27/2025,12/28/2025,REST CASA LUNA,Food & Drink,Sale,-75.69,
12/27/2025,12/28/2025,UBER* TRIP,Travel,Sale,-6.71,
12/26/2025,12/28/2025,DE CARMEN CAFE,Food & Drink,Sale,-6.15,
12/27/2025,12/28/2025,Amazon.com*X35EL9KH3,Shopping,Sale,-33.08,
12/27/2025,12/28/2025,UBER* TRIP,Travel,Sale,-3.35,
12/26/2025,12/28/2025,UBER* TRIP,Travel,Sale,-3.35,
12/27/2025,12/28/2025,UBER* TRIP,Travel,Sale,-2.79,
12/27/2025,12/28/2025,Amazon.com*MG1M41HF3,Shopping,Sale,-5.39,
12/26/2025,12/28/2025,7ELEVEN 16SEP Y JUAREZ,Groceries,Sale,-3.41,
12/27/2025,12/28/2025,UBER* TRIP,Travel,Sale,-0.84,
12/26/2025,12/28/2025,UBER* TRIP,Travel,Sale,-7.27,
12/26/2025,12/26/2025,UBER* TRIP,Travel,Sale,-20.33,
12/25/2025,12/26/2025,Booking.com Hotel,Travel,Sale,-2503.17,
12/25/2025,12/26/2025,MERPAGO*DULCECATRINA,Groceries,Sale,-10.07,
12/26/2025,12/26/2025,UBER* TRIP,Travel,Sale,-0.56,
12/25/2025,12/26/2025,UBER   *TRIP,Travel,Sale,-5.16,
12/24/2025,12/26/2025,OXXO SAN MIGUELITO,Groceries,Sale,-1.40,
12/26/2025,12/26/2025,UBER* TRIP,Travel,Sale,-1.12,
12/22/2025,12/24/2025,OXXO TEATRO JUAREZ BJX,Groceries,Sale,-2.79,
12/23/2025,12/24/2025,CLIP MX*ENSIGNAA ATELI,Shopping,Sale,-60.38,
12/23/2025,12/24/2025,MERPAGO*DULCECATRINA,Groceries,Sale,-12.58,
12/23/2025,12/24/2025,HELADOS AMORINO,Food & Drink,Sale,-7.13,
12/23/2025,12/24/2025,EL ZAGUAN,Shopping,Sale,-19.50,
12/21/2025,12/23/2025,OXXO TEATRO JUAREZ BJX,Groceries,Sale,-2.95,
12/22/2025,12/23/2025,CLIP MX*SAN JERONIMO,Shopping,Sale,-18.19,
12/21/2025,12/23/2025,STARBUCKS C GUANAJUATO,Food & Drink,Sale,-4.28,
12/22/2025,12/23/2025,PASTELERIA LA CLL DEL,Food & Drink,Sale,-4.45,
12/22/2025,12/23/2025,MERPAGO*XOCOLAT,Groceries,Sale,-8.34,
12/22/2025,12/23/2025,MERPAGO*PINOCAFE,Groceries,Sale,-6.12,
12/21/2025,12/22/2025,MERPAGO*NAVOCHURRERIA,Groceries,Sale,-5.06,
12/21/2025,12/22/2025,JARD SAN GABRIEL DE B,Professional Services,Sale,-14.46,
12/20/2025,12/22/2025,STARBUCKS AERO VLLRT,Food & Drink,Sale,-8.73,
12/19/2025,12/22/2025,WOOGA SULLUNGTANG,Food & Drink,Sale,-48.60,
12/21/2025,12/21/2025,UBER   *TRIP,Travel,Sale,-3.00,
12/20/2025,12/21/2025,XAI LLC,Shopping,Sale,-30.00,
12/21/2025,12/21/2025,UBER   *TRIP,Travel,Sale,-38.76,
12/20/2025,12/21/2025,AMAZON MKTPL*J69ZW6923,Shopping,Sale,-29.82,
12/19/2025,12/21/2025,FEDEX OFFIC37000003707,Personal,Sale,-12.97,
12/19/2025,12/21/2025,AMAZON MKTPL*0W86P1Z83,Shopping,Sale,-20.98,
12/20/2025,12/21/2025,APTO PTO VALLARTA AERO,Travel,Sale,-6.67,
12/20/2025,12/21/2025,HOTEL ALONSO 10,Travel,Sale,-50.05,
12/21/2025,12/21/2025,UBER* TRIP,Travel,Sale,-43.76,
12/20/2025,12/21/2025,TESLA SUBSCRIPTION US,Bills & Utilities,Sale,-109.15,
12/19/2025,12/21/2025,FEDEX OFFIC37000003707,Personal,Sale,-2.52,
12/18/2025,12/19/2025,Booking.com Hotel,Travel,Sale,-709.10,
12/18/2025,12/19/2025,DD *BCDTOFUHOUSE,Food & Drink,Sale,-52.11,
12/19/2025,12/19/2025,Amazon.com*G44BN0MI3,Shopping,Sale,-14.06,
12/17/2025,12/18/2025,TST* LODGE BREAD - CULVER,Food & Drink,Sale,-14.00,
12/18/2025,12/18/2025,FOOD.APPLE.COM,Food & Drink,Sale,-9.00,
12/18/2025,12/18/2025,HUBERMAN LAB,Entertainment,Sale,-10.00,
12/16/2025,12/17/2025,Amazon.com*1W66A4TS3,Shopping,Sale,-10.82,
12/16/2025,12/17/2025,PERSONALITY.CO,Shopping,Sale,-0.95,
12/17/2025,12/17/2025,SUPRA RE,Professional Services,Sale,-16.61,
12/16/2025,12/17/2025,PERSONALITY.CO,Shopping,Sale,-1.00,
12/15/2025,12/16/2025,BKG*BOOKING.COM HOTEL,Travel,Sale,-1683.19,
12/15/2025,12/16/2025,AMAZON MKTPL*7Z7JT1B23,Shopping,Sale,-6.62,
12/14/2025,12/16/2025,NIJIYA MARKET #36,Groceries,Sale,-106.90,
12/14/2025,12/15/2025,Whole Foods PLV 10536,Groceries,Sale,-40.96,
12/13/2025,12/15/2025,SPO*SAIGONDISH,Food & Drink,Sale,-19.00,
12/12/2025,12/15/2025,WOOGA SULLUNGTANG,Food & Drink,Sale,-44.18,
12/14/2025,12/15/2025,CINEMARK 1014 RSTBAR,Food & Drink,Sale,-5.80,
12/12/2025,12/14/2025,TACOMASA - E* TACOMASA,Food & Drink,Sale,-31.78,
12/13/2025,12/14/2025,Tesla Insurance Company,Bills & Utilities,Sale,-329.91,
12/13/2025,12/14/2025,FRUITLADY ARNETTFARM,Groceries,Sale,-28.00,
12/13/2025,12/14/2025,SQ *FARMERS MARKET LA - D,Food & Drink,Sale,-22.88,
12/13/2025,12/14/2025,USPS PO 0551120800,Shopping,Sale,-12.52,
12/14/2025,12/14/2025,CINEMARK 1014 ONLINE,Entertainment,Sale,-7.50,
12/13/2025,12/14/2025,SUPERBCUT HAIR SALON,Personal,Sale,-74.75,
12/11/2025,12/12/2025,TST*SWEET WHEAT BAKERY -,Food & Drink,Sale,-5.20,
12/10/2025,12/10/2025,CHEWY.COM,Health & Wellness,Sale,-59.68,
12/09/2025,12/10/2025,CHEWY.COM,Shopping,Sale,-60.87,
12/09/2025,12/10/2025,COSTCO WHSE #0671,Shopping,Sale,-143.85,
12/10/2025,12/10/2025,TESLA SUBSCRIPTION US,Bills & Utilities,Sale,-108.78,
12/09/2025,12/10/2025,COSTCO WHSE #0671,Health & Wellness,Sale,-2.16,
12/09/2025,12/10/2025,NEOGEN_PATIENTACCTS_ANET,Health & Wellness,Sale,-10.77,
12/09/2025,12/10/2025,Amazon.com*G92ZR80V3,Shopping,Sale,-35.46,
12/09/2025,12/10/2025,Amazon.com*MB7UM7YM3,Shopping,Sale,-13.24,
